//ERROR: FILE TOO LARGE FOR MACHINE TRANSLATION

GENOTYPE        MEMBRANE IDENTIFIER              LOCAL DESIGNATION          LOCAL ID  LOCAL HSU LOCATION  LOCAL STATUS

NGV61DUA230I58  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Angela Klein               A885      Unknown             Deceased
ZG65V5XGDNXWC3  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  James Durant               B650      Unknown             Unknown
D2ZV0QRXOZP0MX  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Susan Nesbitt              B601      Unknown             Deceased
ZHV6USIAY3O2TP  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Janson Davies              A666      Unknown             Unknown
2D7BDE2CIIWK93  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Vitori Molina              C543      Unknown             Deceased
8FUVG6ZKA8BAAE  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Dean Lockwood              A114      Unknown             Unknown
10VLPFOIKAGIUB  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Leif Hamsun                A259      Unknown             Deceased
XW2QLZ1507JRPC  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Bruce Keith                C499      Unknown             Deceased
9V8V1SC91KF9IL  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Igor Rostok                C104      Unknown             Deceased
SY2CJHYGP80DVW  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Phil Decker                C358      Unknown             Deceased
0L6R9XLDGYI8GF  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gallius Hammerstein        B693      Unknown             Unknown
PTYLNBYTVAN39H  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Howard Stokes              B738      Unknown             Unknown
HW5D9EF9LWT37K  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Kat Edison                 B609      Unknown             Deceased
UZJK4BW1MSG9CL  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Otto Richtofer             B689      Unknown             Unknown
61UNCDUXWEXUQ7  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Rutger Werner              B172      Unknown             Unknown
8MXCAV0UAIA5C3  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Rebecca Stokes             B193      Unknown             Unknown
HKZ4LQJLN7O0MZ  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ronnie Sullivan            B684      Unknown             Unknown
3RCUYC99CKM655  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Sebastien Girauld          A813      Unknown             Unknown
6K5YXHAY8IUR7E  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Christopher Getz           B170      Unknown             Deceased
XLZ6WHC28E0OUO  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Geordie McInnery           C575      Unknown             Deceased
ZQUIEV0D7B1YKH  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Abeo Dauda                 T-1726    7J5D7QA             Active
RQE9OMWESKF7TL  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Aiden Hackett              O-3411    D8Q2YNG             Active
6CL4MGELOI1FXG  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Alan Keller                F-7619    6N9R015             Inactive
AESXPU68GWZVZ5  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Anton Grimes               O-9838    5LP2RHX             Active
Q1NY9VJBVW13TG  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Brian Osgood               O-1559    ZFVK3IL             Active
WO0C80DUA951A1  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Briana Elliott             O-5361    0SCG7D5             Unknown
DMKWYGMJG1BQ1R  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Carrie Christi             O-2181    7NFC5Y4             Active
P9MG7Z369LKPGE  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  David Brayburn             T-4382    ATECVQG             Active
YXVAXW59T9B2YY  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Frank Bishop               GO-5475   DDWN1AJ             Active
JZZIZUS0X1GU19  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gerald Maier               GO-6917   5HSWRWX             Active
5VWT1360B657O9  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Gill McKenna               GO-3775   5NRDXB4             Deceased
K63RH0P992VXXB  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ian Langley                O-3943    1G87IXG             Active
8OVFIS5LJUFJMX  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Ignatio Fortuna            GO-6976   N8NLOJH             Active
RHB9CLH82J4PVA  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Irene Lopez                T-7170    BL42B0B             Active
067KW1TWMB254U  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Isiah Woods                F-9079    1VXEOSK             Active
JEBB3RP5Q7AYGG  M-FGP0-4BUW-R6BX-RJR8-1E56-S48D  Jacob Holmes               O-8173    1JFBQXK             Active
